lemma,grammatical info,distribution,senses
āblīcan,V_1,,"['_to shine, glitter_']"
āblicgan,,,[]
āblignes,,,[]
āblindan,,,['_to make blind_']
āblindian,,,[]
āblinnan,V_3,,"['_to cease, leave off, desist_']"
āblinnednes,noun feminine,,"['_cessation, interruption_']"
āblinnendlīce,,,['_indefatigably_']
āblinnendnes,,,[]
āblisian,,,[]
āblissian,,,"['_to make glad, please_']"
āblongen,noun neuter,,[]
āblycgan,,,['_to grow pale_']
āblycgan,,,['_make afraid_']
āblynnan,,,[]
āblysian,,,['_to blush_']
āblysung,noun feminine,,"['_blushing, shame_']"
ābodian,,,"['_to announce, proclaim_']"
ābolgennes,noun feminine,,['_irritation_']
āborgian,,,['_to be surety for_']
āborgian,,,['_borrow_']
āborian,,,[]
ābracian,,,"['_to engrave, emboss_']"
ābrǣdan_1,,,"['_to spread out, dilate_']"
ābrǣdan_1,,,['_stretch out_']
ābrǣdan_2,,,['_bake_']
ābraslian,,,"['_to crash, crackle_']"
ābrēac,noun neuter,,[]
ābrēat,noun neuter,,[]
ābrecan,V_4,,"['_to break, break to pieces, break down, conquer, capture, violate, destroy_']"
ābrecan,V_4,,['_break away from_']
ābrēdan,V_3,,"['_to move quickly, draw, unsheath, wench, pull out_, _Mt_']"
ābrēdan,V_3,,"['_withdraw, take away, draw back, free from_', '_drawn up, raised up_']"
ābrēdan,V_3,,"['_start up, awake_', '_abraid_']"
ābredwian,,,"['_to lay low, kill_']"
ābrēgan,,,"['_to alarm, terrify_']"
ābregdan,,,[]
ābrēotan,V_2,,"['_to destroy, kill_']"
ābrēotnes,noun feminine,,['_extermination_']
ābrēoðan,V_2,,"['_to fail, decay, deteriorate, perish, be destroyed_, _Ma_']"
ābrēoðan,V_2,,"['_degenerate, reprobate_, _ÆGr_. (tr.\xa0and\xa0wk.) _destroy_', '_brethe_']"
ābrerd-,,,[]
ābroðennes,noun feminine,,"['_baseness, cowardice_']"
ābrūcan,V_3,,['_to eat_']
ābryrd-,,,[]
ābrȳtan,,,['_to destroy_']
ābūfan,adv.,,['_above_']
ābūgan,V_2,,"['_to bow, incline, bend, submit, do reverence_, _B, ChrL_']"
ābūgan,V_2,,[]
ābūgan,V_2,,"['_swerve, turn (to\xa0or from)_, _deviate_']"
ābūgan,V_2,,"['_withdraw, retire_']"
ābūgan,V_2,,"['_be bent or turned, turn one’s self_', '_abow_']"
ābunden,,,['_unimpeded_']
ābūrod,,,['_not inhabited_']
"ābūtan,_1",noun neuter,,[]
"ābūtan,_2",prep.,,"['_on, about, around, on the outside, round about_, _CP, ChrL, Æ_']"
"ābūtan,_3",adv.,,"['_about, nearly_, _ChrC_']"
"ābūtan,_3",adv.,,['_about_']
ābycgan,,,"['_to buy, pay for, requite_']"
ābycgan,,,['_redeem_']
ābycgan,,,"['_perform, execute_']"
ābyffan,,,['_to mutter_']
ābȳgan,,,"['_to bend, deflect_']"
ābȳgan,,,"['_subdue, bring low_']"
ābȳgan,,,['_convert_']
ābȳgendlic,,,[]
"ābylg-,",,,[]
"ā-byrgan,",,,"['_to taste, eat_']"
ābyrging,noun feminine,,['_taste_']
ābysgian,,,"['_to busy, occupy, employ_']"
ābysgian,,,"['_engage in, undertake_']"
ābysgian,,,"['_take up, fill_']"
ābysgung,noun feminine,,['_occupation_']
ābysgung,noun feminine,,['_trouble_']
ābȳwan,,,"['_to rub off, polish, cleanse, purify_']"
ac_1,conj,,['_but_']
ac_1,conj,,"['_but also, moreover, nevertheless, however_']"
ac_1,conj,,"['_because, for_']"
ac_1,conj,,"['_and_', '_unless, except_', '_Goth._']"
ac_2,interrog. particle.,,"['_why, wherefore, whether_']"
ac_2,interrog. particle.,,"['_L. nonne, numquid_']"
āc,noun feminine,,"['_oak_,’ _Æ, Ct, Lcd_']"
āc,noun feminine,,[]
āc,noun feminine,,['_ship of oak_']
āc,noun feminine,,"['_name of the rune for =a=_', '_OHG._']"
ācǣgan,,,[]
ācǣglod,,,['_serratus_']
ācænn-,,,[]
ācærran,,,[]
ācalan,V_6,,['_to become frost-bitten_']
acan,V_6,,"['_to ‘ache,’ suffer pain_, _Æ_']"
"acas,",noun feminine,,[]
ācbēam,noun masculine,,['_oak-tree_']
accent,noun masculine,,"['_accent_', '_L._']"
accutian,,,[]
āccynn,noun neuter,,['_a kind of oak_']
ācdrenc,noun masculine,,"['_oak drink, drink made from acorns_']"
ace,,,[]
ācealdian,,,"['_to become cold_, _Æ, CP_', '_acold_']"
ācēapian,,,"['_to buy off, buy out_']"
ācēlan,,,"['_to cool off, still, quiet_, _Met_', '_akele_']"
ācelma,,,[]
ācen,,,[]
ācennan,,,"['_to bring forth, produce, renew_, _Bo, WG_']"
ācennan,,,[]
ācennan,,,"['_attribute to_', '_akenne(d)_']"
ācennedlic,,,"['_‘genuinus,’ native_']"
ācennednes,,,['_WG_']
ācennednes,,,"['_Æ_), -cennes (_CP,\xa0NG_']"
ācennednes,,,"['_birth_', '_akenn(ed)nes_']"
ācennend,noun masculine,,['_parent_']
ācennicge,noun feminine,,['_mother_']
ācenning,noun feminine,,['_birth_']
ācēocian,,,['_to choke_']
ācēocian,,,['_burn out_']
ācēocung,noun feminine,,['_ruminatio_']
āceorfan,V_3,,"['_to cut off, hew down_', '_to cut away_', '_to cut off_']"
ācēosan,V_2,,['_to choose_']
acer,,,[]
ācerr-,,,[]
ācīgan,,,"['_to call, summon_']"
ācirran,,,"['_to turn, turn away or aside_']"
ācirran,,,"['_turn oneself, go, return_']"
ācirrednes,,,[]
ācl,,,[]
āclǣc,,,[]
āclǣnsian,,,"['_to cleanse, purify_']"
āclēaf,noun neuter,,['_oak leaf_']
āclēofan,V_2,,['_to cleave_']
ācleopian,,,['_to call out_']
+āclian,,†,"['_to frighten, excite_']"
āclungen,,,['_contracted_']
ācmelu,noun neuter,,['_acorn meal_']
ācmistel,noun feminine,,['_mistletoe_']
ācn-,,,[]
ācnāwan,V_1,,"['_to know, recognise, understand_']"
ācnyssan,,,"['_to drive out, expel_']"
ācofrian,,,"['_to recover_, _Lcd_', '_acover_']"
ācol,,†,"['_affrighted, dismayed_']"
ācōlian,,,['_to grow cold_']
ācolitus,noun masculine,,"['_acolyte_', '_L._']"
ācolmōd,,†,"['_fearful minded, timid_']"
+ācolmōdian,,,"['_to cast down, sadden_']"
ācordian,,,"['_to make terms, reconcile_']"
ācorenlic,,,"['_eligible, worthy of choice_']"
ācostnian,,,"['_to try, test, prove_']"
ācræftan,,,"['_to think out, devise_']"
ācrammian,,,['_to cram_']
ācrēopian,,,"['_to creep, crawl_']"
ācrimman,V_3,,"['_to cram, stuff_']"
ācrind,noun feminine,,['_oak bark_']
ācrummen,noun neuter,,[]
acs,,,[]
ācs-,,,[]
acse,,,[]
āctān,noun masculine,,['_oak-twig_']
āctrēo,noun neuter,,['_oak-tree_']
ācucian,,,[]
ācul,,,[]
ācuma,,,[]
ācuman,V_4,,"['_to come, come forth (from)_']"
ācuman,V_4,,"['_bear, bring_']"
ācuman,V_4,,"['_endure, withstand_']"
ācuman,V_4,,"['_get to or from, reach_, _Gen_', '_acome_']"
ācum-ba,noun masculine,,"['_‘oakum,’ hards, tow_, _Lcd, OEG, WW_']"
ācum-ba,noun masculine,,['_ashes of oakum_']
ācum-ba,noun masculine,,"['_parings, clippings_']"
ācumendlic,,,['_tolerable_']
ācumendlic,,,['_possible_']
ācumendlīcnes,noun feminine,,['_possibility_']
ācunnan,,,[]
ācunnian,,,"['_to try, test, prove_']"
ācunnian,,,['_experience_']
ācunnung,noun feminine,,"['_experience, trial_']"
ācusan,,,"['_to accuse_', '_L._']"
ācwacian,,,['_to tremble_']
ācwæncan,,,[]
ācweccan,,,"['_to move, swing, shake, vibrate_, _Ma_']"
ācweccan,,,[]
ācweccan,,,"['_quiver_', '_aquetch_']"
ācwelan,V_4,,"['_to die, perish_']"
ācwellan,,,"['_to kill, destroy_, _JnL_']"
ācwellan,,,['_aquell_']
ācwellednes,noun feminine,,['_slaughter_']
ācwencan,,,"['_to quench, extinguish_, _Mt_']"
ācwencan,,,['_aquench_']
ācweorna,noun masculine,,"['_squirrel_, _Gl_', '_aquerne_']"
ācweorran,V_3,,"['_to guzzle, gorge_']"
ācwern,,,[]
ācwerren,noun neuter,,[]
ācweðan,V_5,,"['_to say, speak out, declare, utter, express, answer_, _Gen_']"
ācweðan,V_5,,"['_reject, banish_', '_acweath_']"
ācwician,,,"['_to quicken, vivify_, _Ps_']"
ācwician,,,"['_revive_, _BH_', '_aquick_']"
ācwīnan,V_1,,"['_to dwindle away, disappear, go out (of\xa0fire)_']"
ācwincan,V_3,,"['_to vanish, be extinguished or eclipsed_']"
"ā-cwucian,",,,[]
ācwudu,noun masculine,,['_an oak wood_']
ācwylan,,,[]
ācwylman,,,"['_to kill, slay_']"
ācwylmian,,,['_to be tormented_']
ācwyncan,,,[]
ācynned,noun neuter,,[]
ācyrr-,,,[]
ācȳðan,,,"['_to show, proclaim, reveal, announce, confirm, prove_']"
ād,noun neuter,,"['_heap, funeral pile, pyre_']"
ād,noun neuter,,"['_fire, flame_', '_OHG._']"
ādǣlan,,,"['_to divide, separate_']"
ādēadian,,,"['_to fail, decay, mortify, become torpid or callous_']"
ādēafian,,,['_to became deaf_']
ādēafung,noun feminine,,"['_deafening, making deaf_, _Lcd_', '_adeave_']"
ādel_1,,,[]
ādel_2,,,[]
ādela,noun masculine,,"['_mud, dirt, filth, filthy place_, _Æ_', '_addle_']"
ādelfan,V_3,,"['_to delve, dig, excavate_']"
ādeliht,,,['_filthy_']
ādelsēað,noun masculine,,"['_sewer, sink_']"
ādēman,,,"['_to judge, try, deprive of or exclude from by a legal decision_']"
ādēman,,,"['_try, afflict_']"
ādeorcian,,,"['_to become dull, obscure, tarnished_']"
ādeorcian,,,['_grow dark_']
āderian,,,['_to hurt_']
adesa,noun masculine,,"['_‘adze,’ hatchet_, _BH,\xa0W_']"
ādexe,,,[]
ād-faru,noun feminine,,['_way or path to the funeral pile_']
ādfini,noun neuter,,['_limit_? _ash-heap of a beacon_']
ādfȳr,noun neuter,,['_sacrificial fire_']
+ādgian,,,[]
ādihtan,,,"['_to compose, write_']"
ādihtian,,,"['_to regulate, arrange, order_']"
"ā-dīlegian,",,,"['_to destroy, blot out, annihilate, devastate_']"
ādimmian,,,"['_to become dim or dull, to darken, obscure_']"
ādl,noun neuter,,"['_disease, infirmity, sickness_']"
ādlēg,noun masculine,,['_flame of the funeral pile_']
±ādlian,,,"['_to be diseased or ill, languish_']"
±ādlian,,,['_cause disease_']
ādlig,,,"['_sick, diseased_']"
ādliga,noun masculine,,['_sick person_']
ādliht,,,[]
ādloma,noun masculine,,['_one crippled by fire_']
ādlsēoc,,,['_sick of a contagious disease_']
ādl-ðracu,noun feminine,‡,['_force of disease_']
ādlung,noun feminine,,['_illness_']
ādlwērig,,,['_weary from illness_']
ādōn,conj,,"['_to take away, send away_']"
ādōn,conj,,"['_cast out, expel, destroy_']"
ādōn,conj,,"['_to, on, from, etc._) _put, place, take, remove, set free_']"
adosa,,,[]
ādrǣdan,,,[]
ādrǣfan,,,"['_to drive away, shut out, expel_', '_adreve_']"
ādrǣnct,noun neuter,,[]
ādragan,V_6,,['_to draw (sword)_']
ādrēfan,,,[]
adreminte,noun feminine,,['_feverfew_']
ādrencan,,,"['_to submerge, immerse, drown_', '_adrench_']"
ādrēogan,V_2,,"['_to act, perform, do, practise_, _Æ_']"
ādrēogan,V_2,,"['_bear, suffer, endure_, _An_']"
ādrēogan,V_2,,[]
ādrēogan,V_2,,"['_pass time, live_', '_adree_']"
ādrēogendlic,,,['_bearable_']
ādrēohan,,,[]
ādrēopan,V_2,,"['_to drip, drop_']"
ādrēosan,V_2,,"['_to fall to pieces, decline, vanish, fail_']"
ādrīfan,V_1,,"['_to drive, drive away, drive out, pursue, follow up_, _LL_']"
ādrīfan,V_1,,[]
ādrīfan,V_1,,['_stake out (a\xa0ford)_']
ādrīfan,V_1,,"['_chase (metal)_', '_adrive_']"
ādrīgan,,,[]
ādrincan,V_3,,"['_be drowned, extinguished_, _BH_']"
ādrincan,V_3,,['_adrink_']
"ādrūgian,",,,"['_Mt, Æ_) _to dry up_', '_adroughe_']"
ādrȳgan,,,"['_to become dry, dry up, wither_']"
ādrȳgan,,,"['_dry, wipe dry_']"
ādrysnan,,,"['_to extinguish, repress_']"
adsa,,,[]
adulsēað,,,[]
ādumbian,,,"['_to become dumb, keep silence_, _Mk_']"
ādumbian,,,['_dumb_']
"a-dūn,",adv.,,"['_down, downward_']"
adūne(ā)stīgan,,,['_to descend_']
adūnfeallan,,,['_to fall down_']
adūnweard,adv.,,"['_downwards_, _ChrL_', '_a-downward_']"
ādūstrigan,,,[]
ādwǣscan,,,"['_to put out, quench, extinguish, blot out, destroy_']"
ādwǣscan,,,['_suppress_']
ā-dwelian,,,"['_to wander, stray_']"
"ādwellan,",,,"['_to seduce, lead astray_']"
"ādwellan,",,,['_hinder_']
ādwēscan,,,[]
ādwīnan,V_1,,['_to dwindle or waste away_']
ādȳdan,,,"['_to destroy, mortify, kill_, _Æ_', '_adeaden_']"
ādȳfan,,,['_to overpower with sound_']
ādylf,noun neuter,,[]
"ādȳlgian,",,,[]
ādymman,,,[]
ādysgian,,,['_to make foolish_']
ǣ-,,,['_without_']
ǣ-,,,[]
ǣ_1,noun feminine,,"['_NG_) _law (divine or human_), _custom, covenant_']"
ǣ_1,noun feminine,,"['_WG, NG_', '_outlaw_']"
ǣ_1,noun feminine,,"['_rite, ceremony_']"
ǣ_1,noun feminine,,"['_faith, religion_', '_false religion_', '_gospel_']"
ǣ_1,noun feminine,,"['_scriptures, revelation_']"
ǣ_1,noun feminine,,['_marriage_']
ǣ_1,noun feminine,,['_(lawful) wife_']
ǣ_2,,,[]
ǣ_3,,,[]
ǣ_4,,,['_oh! alas!_']
ǣa_1,,,[]
ǣa_2,,,[]
ǣa_3,,,[]
æal-,,,[]
ǣalā,,,[]
ǣar-,,,[]
āeargian,,,['_to become remiss_']
ǣbǣre,,,"['_LL_) _manifest, notorious, public, open, evident, clear_', '_eber_']"
āebbian,,,"['_to ebb away, recede_']"
æbbung,noun feminine,,"['_ebbing_', '_gulf, bay_, _WW_']"
ǣbebod,noun neuter,,"['_injunction of the law, command_']"
ǣbēc,,,['_books of the law_']
ǣbēre,,,[]
ǣbesn,,,[]
"ǣbilg-,",,,[]
ǣblǣc-,,,[]
ǣblǣce,,,"['_lustreless, pale, pallid_']"
ǣbod,noun masculine,,['_business_']
ǣbod,noun masculine,,['_statute_']
ǣboda,noun masculine,,"['_messenger, preacher_']"
ǣbræce,,,[]
ǣbreca,,,[]
ǣbrecð,noun feminine,,['_sacrilege_']
ǣbrucol,,,['_sacrilegious_']
æbs,,,"['_fir-tree_', '_L._']"
ǣbylg,noun neuter,,[]
ǣbylga,noun masculine,,['_anger_']
"±ǣbylgan,",,,"['_to make angry, offend_']"
ǣbylgnes,noun feminine,,"['_anger, offence_']"
"ǣbylgð,",noun feminine,,['_anger_']
ǣbylig-,,,[]
"ǣ-bylð,",,,[]
ǣc_1,noun feminine,,[]
ǣc_2,,,[]
ǣcambe,noun feminine,,[]
ǣcan,,,[]
æccyrn,,,[]
æce,,,[]
ǣce,,,[]
æced,,,[]
æcedwīn,noun neuter,,['_wine mingled with myrrh_']
ǣcēlan,,,[]
ǣcelma,noun masculine,,['_chilblain_']
ǣcelmehte,,,['_having chilblains_']
ǣcen_1,,,['_a wood of oaks_']
ǣcen_2,,,['_oaken_']
ǣcen_3,noun neuter,,[]
æcer,noun masculine,,"['_field, sown land, cultivated land_, _Mt_']"
æcer,noun masculine,,[]
æcer,noun masculine,,[]
æcer,noun masculine,,"['_a certain quantity of land, ‘acre,’_ _Æ_']"
æcer,noun masculine,,[]
æcer,noun masculine,,['_crop_']
æcerceorl,noun masculine,,"['_countryman, farmer_']"
æceren,,,[]
æcerhege,noun masculine,,['_hedge of a field_']
æcermǣlum,,,['_by acres_']
æcermann,noun masculine,,"['_farmer_, _WW_', '_acreman_']"
æcern,noun neuter,,"['_nut, mast of tree_, _Æ_']"
æcern,noun neuter,,['_acorn_']
æcernspranca,noun masculine,,"['_‘ilex,’ oak sapling_']"
æcersǣd,noun neuter,,['_seed enough for an acre_']
æcerteoðung,noun feminine,,['_tithe of the produce of the soil_']
æcertȳning,noun feminine,,['_fencing_']
æcerweorc,noun neuter,,['_field-work_']
æces,,,[]
"æcest,",noun neuter,,[]
ǣcilma,,,[]
æcirn,,,[]
ǣclǣca,,,[]
ǣclēaw,,,[]
ǣcnōsle,,,"['_degenerate, not noble_']"
+ǣcnōsliende,,,['_degenerating_']
ǣcræft,noun masculine,†,"['_knowledge of law or ordinances, religion_']"
ǣcræftig,,,['_learned in the law_']
ǣcræftig,,,"['_lawyer, scribe, Pharisee_']"
æcras,,,[]
æcren,,,[]
æcs,noun feminine,,"['_‘axe,’ pickaxe, hatchet_']"
æcs,noun feminine,,['_Mt_']
"æcst,",noun neuter,,[]
ǣcumba,,,[]
æcur,,,[]
æcyrf,noun masculine,,['_(wood-)choppings_']
æd,,,[]
æd-,,,[]
ædderseax,,,[]
"æddre,",,,[]
ǣdre_1,noun feminine,,"['_artery, vein, pulse, nerve, sinew_, _B_']"
ǣdre_1,noun feminine,,[]
ǣdre_1,noun feminine,,"['_veins, kidneys_']"
ǣdre_1,noun feminine,,"['_runlet of water, fountain, spring, stream_', '_eddre_']"
ǣdre_2,adv.,,"['_at once, directly, instantly, quickly_']"
ǣdre_2,adv.,,"['_fully, entirely_', '_OS._']"
ǣdreseax,noun neuter,,['_lancet_']
ǣdreweg,noun masculine,,"['_artery, vein_']"
ǣdrīfan,,,[]
ædwist,,,[]
æfæst,,,[]
ǣfæst,,,[]
æfdæll,,,[]
æfdȳne,noun masculine,,['_declivity_']
ǣfelle,,,"['_without skin, peeled_']"
æfen,,,[]
ǣfen,noun masculine,,"['_‘even,’ evening, eventide_, _B, MkL, Gu_', '_till evening_']"
ǣfen,noun masculine,,"['_eve_, _RB_']"
ǣfencollatio,,,['_the ‘collatio’ read before compline_']
ǣfendrēam,noun masculine,,['_even-song_']
ǣfengebed,noun neuter,,['_evening service_']
ǣfengereord,noun neuter,,"['_evening meal, supper_']"
ǣfengereordian,,,"['_to sup, give supper to_']"
ǣfengereordung,noun feminine,,['_supper_']
ǣfengeweorc,noun neuter,,['_evening work_']
"ǣfen-giefl,",noun neuter,,"['_evening repast, supper_']"
"ǣfen-glōm,",noun masculine,,"['_gloaming, twilight_']"
ǣfengrom,,,['_fierce at eve_']
æfenian,,,[]
ǣfenlāc,noun neuter,,"['_evening sacrifice, evening prayer_']"
ǣfenlǣcan,,,['_to grow towards evening_']
ǣfenlēoht,noun neuter,,['_evening light_']
ǣfenleoð,noun neuter,†,['_evening song_']
ǣfenlic,,,['_of the evening_']
ǣfenlic,,,[]
ǣfenlof,noun neuter,,['_lauds (service)_']
ǣfenmete,noun masculine,,['_supper_']
ǣfenoffrung,noun feminine,,['_evening sacrifice_']
ǣfenrǣding,noun feminine,,"['_reading (during the evening meal at a monastery), ‘collatio,’_']"
ǣfenrepsung,noun feminine,,['_nightfall_']
"ǣfen-rest,",noun feminine,†,['_evening rest_']
ǣfensang,noun masculine,,"['_evensong_,’ _Æ, RB_']"
ǣfensceop,noun masculine,,"['_evening singer, bard_']"
ǣfenscīma,noun masculine,,['_evening splendour_']
ǣfensprǣc,noun feminine,,['_evening talk_']
ǣfensteorra,noun masculine,,"['_the evening star, Hesperus_, _Bo_']"
ǣfensteorra,noun masculine,,['_evenstar_']
ǣfen-tīd,noun feminine,,['_eventide_']
ǣfenðēnung,noun feminine,,['_evening service_']
ǣfenðēnung,noun feminine,,"['_evening repast, supper_']"
ǣfenðēowdōm,noun masculine,,['_evening service or office_']
ǣfenung,,,[]
ǣfer,,,[]
æferðe,noun feminine,,['_name of a plant_']
æfes-,,,[]
æfesa,noun masculine,,[]
"æfesn,",noun feminine,,"['_relish, dainty, special pasturage, pannage_']"
"æfesn,",noun feminine,,['_the charge for special pasturage_']
æfesne,,,[]
æfest,noun feminine,,"['_envy, hatred, malice, spite_']"
æfest,noun feminine,,"['_El, Ps_']"
æfest,noun feminine,,"['_zeal, rivalry_', '_evest_']"
ǣfest,,,[]
æfestful,,,['_full of envy_']
±æfestian,,,['_to be or become envious_']
æfestig,,,['_envious_']
æfestig,,,['_zealous_']
æfestlīce,,,[]
æfgælð,noun feminine,,['_superstition_']
æfgerefa,,,['_exactor_']
æfgrynde,noun neuter,,['_abyss_']
æfhynde,,,[]
æfian,,,['_to be in a miserable condition_']
æfisc,,,[]
æflāst,noun masculine,,['_a wandering from the way_']
±æfnan,,,"['_to carry out, do, perform, fulfil_']"
±æfnan,,,['_cause_']
±æfnan,,,"['_endure, suffer_']"
±æfnan,,,"['_hold, sustain_', '_ON._']"
æfne,,,[]
±ǣfnian,,,['_to grow towards evening_']
ǣfnung,noun feminine,,"['_‘evening,’ sunset_, _Æ_']"
ǣfre,adv.,,"['_‘ever,’ at any time_, _Sat, Mt_']"
ǣfre,adv.,,"['_always, constantly, perpetually_, _Cr, RB_']"
ǣfre,adv.,,[]
ǣfre,adv.,,['_henceforth_']
ǣfre,adv.,,[]
ǣfre,adv.,,['_never_']
ǣfre,adv.,,"['_for ever_', '_W, Chr_', '_any at all_, _KC_']"
æfreda,noun masculine,,['_what is taken or separated from_']
æfreda,noun masculine,,[]
æfreda,noun masculine,,"['_tow, oakum_']"
ǣfremmende,,,"['_pious, religious_']"
æfse_1,,,[]
æfse_2,,,[]
æfsecgan,,,['_to confute_']
æfst,,,[]
æfsweorc,noun neuter,,['_pasturage_']
æft,,,[]
æftan,adv.,,"['_from behind, behind, in the rear_, _Ma_', '_aft_']"
æftanweard,adj.,,"['_behind, in the rear, following_']"
æftemest,adj.,,"['_last, hindmost_']"
æfter_1,prep.,,"['_after, along, behind, through, throughout, during_']"
æfter_1,prep.,,"['_following, in consequence of, according to, for the purpose of_']"
æfter_1,prep.,,"['_after, about, in pursuit of, for_']"
æfter_2,adv.,,"['_after, then, afterwards, thereafter_']"
æfter_2,adv.,,"['_thereupon, later, back_ (= _in return_']"
æfter_2,adv.,,[]
æfter_2,adv.,,"['_afterwards, thereafter_']"
æftera,,,[]
æfterǣ,noun feminine,,['_the book Deuteronomy_']
æfterboren,adj.,,"['_‘afterborn,’ posthumous_, _ÆGr_']"
æftercweðan,V_5,,"['_to speak after, repeat_', '_praise from posterity_']"
æftercweðan,V_5,,"['_to renounce, abjure_']"
æftercyning,noun masculine,,['_later king_']
æfterealu,noun neuter,,['_small beer_']
æfterfilian,,,[]
æfterfiligend,,,[]
æfterfolgere,noun masculine,,['_follower_']
"æfter-folgian,",,,"['_to follow after, succeed, pursue_']"
æfterfylgednes,noun feminine,,['_sequel_']
æfterfylgend,noun masculine,,"['_follower, successor_', '_in succession_']"
æfterfylgendnes,noun feminine,,['_succession_']
æfterfylgung,noun feminine,,['_pursuit_']
æfterfylig-,,,[]
"æfter-genga,",noun masculine,,"['_follower, successor_']"
"æfter-genga,",noun masculine,,['_descendant_']
æftergengel,noun masculine,,['_successor_']
æftergengnes,noun feminine,,['_succession_']
æftergengnes,noun feminine,,['_posterity_']
æftergengnes,noun feminine,,['_inferiority_']
æftergyld,noun neuter,,['_further payment_']
æfterhǣðe,,,['_autumn drought_']
æfterhyrigan,,,['_to imitate_']
